GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,32,3,2,0,9,1,4,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,83,3,6,0,22,1,9,1,6,1
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,170,3,6,0,33,1,11,1,8,1
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,48,24,2,2,12,8,4,5,2,5
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,93,3,6,0,24,1,9,1,6,1
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,53,3,4,0,16,1,8,1,6,1
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,53,3,4,0,16,1,8,1,6,1
spring-boot-skeleton,com.nnk.springboot.controllers,GlobalExceptionHandler,43,7,0,0,8,2,2,2,2,2
spring-boot-skeleton,com.nnk.springboot.controllers,GlobalControllerAdvice,2,33,2,2,1,7,2,2,0,2
spring-boot-skeleton,com.nnk.springboot.serviceImpl,BidListServiceImpl,0,58,0,4,0,11,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.serviceImpl,TradeServiceImpl,0,58,0,4,0,11,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.serviceImpl,CurvePointServiceImpl,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.serviceImpl,RatingServiceImpl,0,71,0,2,0,16,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.serviceImpl,RuleNameServiceImpl,0,58,0,4,0,11,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.seeds,UserDataLoader,34,31,1,1,6,9,1,3,0,3
spring-boot-skeleton,com.nnk.springboot.seeds,RuleNameDataLoader,51,13,1,1,6,5,1,3,0,3
spring-boot-skeleton,com.nnk.springboot.seeds,TradeDataLoader,108,13,1,1,6,5,1,3,0,3
spring-boot-skeleton,com.nnk.springboot.seeds,BidListDataLoader,114,13,1,1,6,5,1,3,0,3
spring-boot-skeleton,com.nnk.springboot.seeds,CurvePointDataLoader,57,13,1,1,6,5,1,3,0,3
spring-boot-skeleton,com.nnk.springboot.seeds,RatingDataLoader,45,13,1,1,6,5,1,3,0,3
spring-boot-skeleton,com.nnk.springboot.service,CustomUserDetailsService,17,3,2,0,4,1,2,1,1,1
spring-boot-skeleton,com.nnk.springboot.security,SecurityConfig,18,109,4,0,5,27,3,9,1,9
spring-boot-skeleton,com.nnk.springboot.security,CustomSuccessHandler,48,3,4,0,12,1,4,1,2,1
spring-boot-skeleton,com.nnk.springboot.security,CustomUserDetail,34,0,0,0,11,0,10,0,10,0
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,47,56,0,0,9,24,2,12,2,12
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,121,17,0,0,34,8,13,5,13,5
spring-boot-skeleton,com.nnk.springboot.domain,BidList,212,143,0,0,85,23,39,9,39,9
spring-boot-skeleton,com.nnk.springboot.domain,Trade,326,10,0,0,98,5,43,3,43,3
spring-boot-skeleton,com.nnk.springboot.domain,User,53,3,0,0,22,2,11,1,11,1
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,85,17,0,0,25,8,9,5,9,5
spring-boot-skeleton,com.nnk.springboot.exceptions,RatingSaveException,4,0,0,0,2,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.exceptions,TradeNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exceptions,BidListNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exceptions,RatingNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exceptions,RuleNameNotFoundException,0,4,0,0,0,2,0,1,0,1
